OTUID	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_13	Eukaryota	Metazoa	Nematoda	Chromadorea	Chromadorea_X	Chromadorea_XX	Chromadorea_XX_sp.
ASV_14	Eukaryota	Metazoa	Nematoda	Enoplea	Enoplea_X	Tylencholaimus	Tylencholaimus_sp.
ASV_26	Eukaryota	Metazoa	Nematoda	Enoplea	Enoplea_X	Unassigned	Unassigned
ASV_131	Eukaryota	Metazoa	Nematoda	Enoplea	Enoplea_X	Allodorylaimus	Allodorylaimus_sp.
ASV_20	Eukaryota	Metazoa	Nematoda	Chromadorea	Chromadorea_X	Unassigned	Unassigned
ASV_24	Eukaryota	Metazoa	Nematoda	Chromadorea	Chromadorea_X	Acrobeloides	Unassigned
ASV_48	Eukaryota	Metazoa	Nematoda	Enoplea	Enoplea_X	Ecumenicus	Ecumenicus_monohystera
ASV_34	Eukaryota	Metazoa	Arthropoda	Chelicerata	Arachnida	Brachychthoniidae	Brachychthoniidae_sp.
ASV_46	Eukaryota	Metazoa	Nematoda	Enoplea	Enoplea_X	Unassigned	Unassigned
ASV_116	Eukaryota	Metazoa	Nematoda	Chromadorea	Chromadorea_X	Eumonhystera	Eumonhystera_filiformis
ASV_22	Eukaryota	Metazoa	Nematoda	Chromadorea	Chromadorea_X	Howardula	Howardula_phyllotretae
ASV_82	Eukaryota	Metazoa	Nematoda	Enoplea	Enoplea_X	Unassigned	Unassigned
ASV_42	Eukaryota	Metazoa	Annelida	Annelida_X	Annelida_XX	Enchytraeus	Enchytraeus_japonensis
ASV_38	Eukaryota	Metazoa	Nematoda	Enoplea	Enoplea_X	Enoplea_XX	Enoplea_XX_sp.
ASV_40	Eukaryota	Metazoa	Nematoda	Unassigned	Unassigned	Unassigned	Unassigned
ASV_45	Eukaryota	Metazoa	Arthropoda	Hexapoda	Collembola	Folsomia	Folsomia_candida
ASV_84	Eukaryota	Metazoa	Annelida	Annelida_X	Annelida_XX	Hemifridericia	Hemifridericia_parva
ASV_81	Eukaryota	Metazoa	Nematoda	Enoplea	Enoplea_X	Prismatolaimus	Prismatolaimus_intermedius
ASV_43	Eukaryota	Metazoa	Nematoda	Chromadorea	Chromadorea_X	Ditylenchus	Ditylenchus_sp.
ASV_79	Eukaryota	Metazoa	Nematoda	Chromadorea	Chromadorea_X	Chromadorea_XX	Chromadorea_XX_sp.
ASV_69	Eukaryota	Metazoa	Nematoda	Enoplea	Enoplea_X	Unassigned	Unassigned
ASV_100	Eukaryota	Metazoa	Nematoda	Chromadorea	Chromadorea_X	Paratylenchus	Paratylenchus_dianthus
ASV_133	Eukaryota	Metazoa	Nematoda	Chromadorea	Chromadorea_X	Unassigned	Unassigned
ASV_94	Eukaryota	Metazoa	Nematoda	Chromadorea	Chromadorea_X	Chromadorea_XX	Chromadorea_XX_sp.
ASV_57	Eukaryota	Metazoa	Nematoda	Chromadorea	Chromadorea_X	Unassigned	Unassigned
ASV_121	Eukaryota	Metazoa	Nematoda	Chromadorea	Chromadorea_X	Aphelenchus	Aphelenchus_avenae
