#OTUID	Q1	Q10	Q100	Q101	Q102	Q103	Q104	Q105	Q106	Q107	Q109	Q11	Q110	Q111	Q112	Q113	Q114	Q115	Q116	Q117	Q118	Q12	Q13	Q14	Q147	Q148	Q149	Q15	Q150	Q151	Q152	Q153	Q155	Q156	Q157	Q158	Q159	Q16	Q160	Q161	Q162	Q163	Q164	Q165	Q166	Q167	Q168	Q169	Q17	Q170	Q171	Q172	Q173	Q174	Q175	Q176	Q177	Q178	Q179	Q18	Q180	Q181	Q182	Q183	Q184	Q185	Q186	Q187	Q188	Q189	Q19	Q190	Q191	Q192	Q193	Q194	Q195	Q196	Q197	Q198	Q199	Q2	Q20	Q200	Q201	Q202	Q203	Q204	Q205	Q21	Q22	Q23	Q24	Q25	Q26	Q27	Q28	Q3	Q30	Q31	Q32	Q33	Q35	Q36	Q37	Q38	Q39	Q4	Q40	Q41	Q42	Q44	Q46	Q48	Q49	Q5	Q56	Q58	Q59	Q62	Q63	Q67	Q69	Q7	Q71	Q73	Q74	Q75	Q76	Q77	Q78	Q79	Q8	Q80	Q81	Q82	Q83	Q84	Q85	Q86	Q87	Q89	Q9	Q90	Q92	Q98	Q99
ASV_3	495	136	314	39	46	178	216	133	65	81	323	321	44	51	332	191	210	426	168	789	309	234	355	125	880	330	646	169	639	555	281	826	859	424	23	91	17	331	482	141	97	14	24	70	13	11	13	27	419	32	35	16	0	7	14	8	40	22	26	159	46	22	38	32	14	12	46	190	352	55	147	17	100	264	83	219	488	327	559	140	202	228	208	1029	567	352	388	562	749	517	139	240	448	526	202	499	414	373	317	240	664	46	724	534	98	538	773	676	511	720	413	17	333	496	361	426	225	251	461	139	532	148	95	365	31	303	432	784	564	299	330	1220	392	706	427	239	782	579	889	55	182	44	422	130	50	35	153
ASV_4	65	85	75	115	143	243	74	270	1173	211	725	38	331	122	828	192	372	150	2121	215	959	63	125	295	25	23	14	118	23	22	11	8	20	20	135	44	26	137	81	57	18	78	39	24	31	27	22	21	86	201	37	34	5	30	38	43	88	20	16	138	20	16	25	19	30	16	13	28	8	71	110	52	54	29	10	4	23	8	3	17	32	130	77	23	29	38	19	14	55	126	110	119	49	181	46	241	90	126	437	160	183	457	138	167	257	358	111	128	484	223	662	471	788	2233	643	162	654	401	121	832	261	49	50	87	180	45	69	108	175	100	103	353	106	414	63	127	95	69	155	132	59	137	75	135	73	88	49
ASV_5	14	164	367	631	790	235	331	323	21	542	115	674	33	571	146	247	86	358	25	232	454	372	96	339	328	242	134	107	66	47	52	5	35	195	306	426	653	302	423	766	248	41	21	150	40	22	8	9	144	60	436	11	3	10	22	12	183	120	6	491	33	6	70	14	8	3	7	116	43	9	124	22	142	86	5	1	7	1	0	69	126	20	493	7	6	32	63	48	96	36	513	220	35	97	403	257	17	44	32	53	6	7	19	331	343	261	11	91	9	13	37	199	62	72	123	95	321	3	133	109	71	145	11	326	21	139	114	39	196	17	39	2	156	35	28	52	98	67	18	13	14	37	351	85	524	501	640
ASV_6	1	152	61	130	26	75	123	7	0	3	0	195	2	17	31	3	3	37	1	7	9	275	218	23	13	4	25	7	21	40	0	0	2	113	106	258	109	6	62	14	43	505	66	293	265	290	409	218	110	42	234	114	165	333	145	72	142	248	403	85	187	186	162	135	158	72	138	246	100	184	2	289	501	61	7	8	6	4	2	10	17	5	5	6	377	172	10	7	36	1	27	3	5	2	8	3	3	159	3	8	0	2	2	103	7	54	1	124	1	2	2	289	25	7	15	163	19	1	145	13	62	205	298	23	195	173	78	46	123	209	171	3	141	9	42	11	117	129	70	49	287	108	11	135	19	61	200
ASV_8	1	170	96	93	95	112	120	37	0	10	3	205	7	38	31	10	2	17	0	3	9	255	275	30	8	2	30	2	14	23	1	1	3	70	47	179	127	14	96	54	47	356	30	285	170	142	227	116	164	36	306	87	77	179	69	47	43	211	244	109	59	52	126	155	200	28	17	106	21	61	4	107	283	43	2	2	4	2	1	22	18	3	7	7	229	146	26	13	67	2	41	2	6	13	34	23	4	107	7	6	3	3	6	114	43	70	4	125	3	3	1	205	60	7	11	144	29	3	90	10	83	119	179	22	263	236	117	72	228	179	228	3	94	4	51	11	140	206	24	15	127	12	31	37	7	53	97
ASV_9	16	124	128	69	53	53	96	118	125	50	32	66	110	34	49	59	36	54	23	42	36	47	99	106	32	66	44	57	26	16	53	22	38	101	135	43	91	150	94	103	135	54	70	107	100	57	61	68	107	154	128	91	38	64	15	70	105	94	40	135	39	33	114	166	96	36	25	49	36	32	34	34	26	201	25	10	52	49	15	143	96	7	78	213	93	171	29	51	145	75	193	54	72	102	37	116	99	84	45	51	21	14	18	110	166	114	33	56	10	42	20	25	81	33	54	146	103	43	135	131	233	51	64	126	214	81	153	129	42	112	127	18	99	65	155	168	139	114	150	88	59	93	43	67	56	118	56
ASV_7	7	11	12	39	2	4	7	9	0	3	0	5	1	1	2	10	1	3	1	12	0	16	14	26	4	4	4	2	1	0	16	4	1	33	44	7	13	0	42	27	55	202	135	76	182	332	298	169	25	161	55	294	838	72	159	438	74	426	23	3	154	124	76	155	255	190	159	73	94	120	1	303	142	162	34	43	31	21	16	30	26	1	2	28	31	23	19	25	16	1	6	4	6	0	5	3	1	18	0	4	3	0	2	19	33	19	2	8	0	2	0	12	6	4	5	24	6	3	17	7	25	21	17	11	32	17	9	9	5	18	15	6	11	5	24	12	21	16	16	12	33	0	3	31	6	41	4
ASV_10	29	80	75	98	24	26	60	131	15	9	12	58	17	17	23	96	31	39	4	92	29	39	42	106	91	59	85	127	49	21	207	33	15	104	81	27	44	108	211	115	119	173	79	68	51	199	178	77	119	64	81	71	35	45	85	70	56	137	174	55	77	63	62	209	62	99	27	84	63	5	37	72	41	239	229	17	86	91	18	137	58	8	53	57	42	31	62	35	22	46	87	241	11	87	97	74	14	81	15	21	18	8	13	76	186	117	15	65	12	76	48	14	46	10	27	64	63	8	67	16	47	29	16	49	52	83	47	60	62	38	36	9	56	25	96	38	96	53	46	11	24	20	63	165	58	67	55
ASV_16	1	43	125	84	70	146	52	112	31	243	45	64	17	48	32	18	23	4	11	20	6	24	37	43	61	6	17	12	0	8	1	2	2	19	157	12	102	22	33	135	107	34	14	70	37	17	28	7	5	473	283	10	3	5	7	8	334	41	3	109	1	3	52	20	9	3	1	9	3	2	3	9	11	60	7	1	9	56	1	113	69	3	36	37	19	120	15	15	51	8	14	3	19	16	33	9	20	1	8	19	2	16	5	106	334	76	2	30	2	1	8	47	5	10	23	79	23	6	37	13	98	17	97	65	273	13	32	29	24	11	18	3	16	16	142	14	2	17	6	236	24	44	1	50	85	70	65
ASV_18	26	74	45	57	105	14	39	80	24	11	48	41	15	104	44	63	77	83	12	74	72	35	21	45	60	33	57	35	64	36	17	5	45	161	49	49	111	47	60	116	32	78	41	29	63	38	18	68	42	17	31	60	13	20	138	18	31	41	49	43	42	57	112	50	18	21	10	75	286	20	22	24	26	58	46	15	8	6	3	21	24	18	23	19	48	15	23	27	8	27	43	15	43	59	48	33	19	57	20	5	8	14	21	22	39	28	29	40	10	10	22	5	37	23	53	32	27	12	36	42	52	27	25	53	34	50	61	53	33	42	19	10	44	32	71	14	77	37	96	16	48	12	28	46	42	35	75
