SampleID	Longitude	Latitude	Altitude	Biome	MAT_k10	AI
Q1	101.4899056	36.364475	3418	Meadow	6.508243561	0.5908
Q2	100.5804083	35.25328889	3111	Meadow	1.636258245	0.358
Q3	101.6212	35.75453333	3112	Steppe	6.623830795	0.4438
Q4	101.6510083	35.72615	3521	Steppe	6.583153248	0.4525
Q5	101.6186417	35.77395	3073	Steppe	6.719876766	0.4245
Q7	100.7843333	35.5865	3253	Steppe	3.795998573	0.3669
Q8	100.6262361	35.55532222	3280	Steppe	3.490839005	0.3665
Q9	100.492	35.56766667	3304	Meadow	3.493817568	0.3637
Q10	100.9059583	35.52327222	3233	Steppe	3.493363619	0.3907
Q11	101.0630194	35.50166389	3359	Steppe	3.517391443	0.4176
Q12	100.9288333	35.3515	3253	Steppe	2.111831188	0.4236
Q13	100.5177	35.24248333	3174	Steppe	1.563968301	0.3424
Q14	100.5583472	35.19386944	3380	Meadow	1.191099405	0.3911
Q15	100.7695	35.0785	3565	Meadow	0.319090933	0.4795
Q16	100.8231667	34.85683333	3650	Meadow	-0.576576471	0.5533
Q17	100.8335139	35.21934167	3356	Steppe	1.16642642	0.4207
Q18	101.1213528	35.299375	3485	Meadow	1.712432146	0.4799
Q19	101.5652556	34.77548611	3587	Steppe	0.356023401	0.5782
Q20	101.5398778	34.81767778	3606	Meadow	0.243008852	0.5794
Q21	101.5282083	34.90813611	3647	Meadow	0.345593691	0.5901
Q22	100.6882333	34.68807222	3407	Meadow	-0.626574636	0.4506
Q23	99.96843333	34.53625278	3799	Meadow	-0.609434843	0.4792
Q24	100.0809306	34.51581944	4080	Meadow	-0.456611305	0.5543
Q25	100.2198889	34.51990833	3778	Meadow	-0.382209271	0.5091
Q26	100.3409833	34.40810833	3830	Meadow	-0.309194535	0.5268
Q27	100.3660222	34.41649722	3932	Steppe	-0.337191612	0.5459
Q28	100.212425	34.19744167	4218	Meadow	-0.171709999	0.6941
Q30	100.0799556	34.01753611	4270	Meadow	-0.456330091	0.7334
Q31	99.81259722	33.91589722	4203	Meadow	-0.949834108	0.627
Q32	99.600225	33.89835833	4032	Meadow	-1.410363317	0.5522
Q33	99.40831111	34.03436389	4236	Meadow	-2.37498641	0.6209
Q35	99.14316667	34.56560556	4417	Meadow	-2.375539064	0.5836
Q36	98.140025	34.92991111	4228	Steppe	-1.61960566	0.3306
Q37	98.07009444	35.00998611	4242	Steppe	-1.201322556	0.3364
Q38	98.20826667	34.90137778	4301	Steppe	-1.917858839	0.3366
Q39	97.14000278	33.81995	4430	Steppe	-4.313159466	0.5854
Q40	97.20731389	33.34155	4162	Meadow	-1.853206873	0.5094
Q41	97.09727778	32.81292778	3926	Meadow	4.16173172	0.4674
Q42	96.74	32.89	4286	Meadow	3.376314163	0.5796
Q44	96.4	32.2	3901	Meadow	4.546635151	0.444
Q46	96.91874167	33.02356944	3851	Meadow	3.107897758	0.4775
Q48	96.36189444	33.27971389	4289	Meadow	-0.239806861	0.5479
Q49	96.3985	32.51766667	4010	Meadow	3.657622099	0.4601
Q56	96.371	33.97066667	4229	Meadow	-2.87109375	0.4619
Q58	97.02016667	33.75716667	4589	Meadow	-4.220197201	0.65
Q59	98.252	34.87516667	4229	Meadow	-2.067268133	0.3386
Q62	98.83186944	35.10745278	4283	Meadow	-0.539707601	0.4333
Q63	99.18005	35.36421111	4165	Steppe	0.913851023	0.401
Q67	99.93901389	35.70978611	3458	Steppe	2.975699663	0.3071
Q69	100.219425	35.99870278	3084	Steppe	4.080431461	0.2722
Q71	100.3896667	36.0895	2990	Steppe	4.6020298	0.2751
Q73	100.9518417	36.93517778	3049	Steppe	2.498557568	0.3815
Q74	101.05845	36.88783611	3082	Steppe	2.882672548	0.3945
Q75	100.8119028	37.00615833	3199	Meadow	2.010829449	0.4091
Q76	100.6832194	37.08243889	3425	Meadow	1.561728001	0.4144
Q77	100.4601417	37.22229444	3277	Meadow	0.786077499	0.3603
Q78	100.2433472	37.28080833	3251	Steppe	0.348548084	0.331
Q79	100.0849889	37.7626	3874	Meadow	0.377753645	0.5236
Q80	100.1082139	37.75540278	3858	Meadow	0.435762107	0.5164
Q81	100.1255944	37.36018056	3331	Meadow	0.137430638	0.3568
Q82	99.86103611	37.26635556	3233	Steppe	0.028750364	0.2788
Q83	99.32208611	37.16155556	3304	Steppe	0.616835773	0.2457
Q84	98.98908056	37.27806111	3448	Steppe	0.60245645	0.2343
Q85	98.87372222	37.07088889	3465	Steppe	1.471223712	0.2581
Q86	98.69336667	37.00835833	3222	Steppe	1.865980625	0.2204
Q87	98.89756667	36.89259444	3243	Steppe	1.876801372	0.1796
Q89	98.24056944	36.44610556	3255	Steppe	3.641762495	0.1618
Q90	98.16615	36.10771944	3469	Steppe	3.104319096	0.1908
Q92	93.67429444	35.49436389	4352	Steppe	-0.649517477	0.2182
Q98	92.74906667	34.590975	4662	Steppe	-4.565115452	0.2837
Q99	92.677625	34.38436667	4566	Steppe	-4.345227718	0.2659
Q100	92.59173889	34.324825	4593	Meadow	-4.234384537	0.2641
Q101	92.48590833	34.26915278	4579	Steppe	-4.120396614	0.2629
Q102	92.33468889	34.07770556	4777	Meadow	-3.806393862	0.3197
Q103	92.31862222	33.81770278	4622	Steppe	-3.454822302	0.2956
Q104	92.11933056	33.73662778	4703	Steppe	-3.200468302	0.3103
Q105	91.96681667	33.50829444	4763	Meadow	-2.877629042	0.3563
Q106	91.85886111	33.25855556	4838	Meadow	-2.804326534	0.3856
Q107	91.96356667	33.0198	5075	Meadow	-2.47833252	0.479
Q109	91.86038056	32.58934167	5097	Meadow	-1.842846274	0.5213
Q110	91.71721389	32.34078889	4775	Meadow	-1.758158684	0.4173
Q111	91.678375	32.186975	4644	Steppe	-1.859459281	0.391
Q112	91.69333889	32.10025	4719	Meadow	-1.829488397	0.4055
Q113	91.79675833	31.73508333	4698	Meadow	-1.487108707	0.3963
Q114	91.95506944	31.38342778	4520	Meadow	-0.881116867	0.3616
Q115	91.85978056	31.31281111	4532	Meadow	-0.913561881	0.3736
Q116	91.76206389	31.17515278	4641	Meadow	-0.781351268	0.3872
Q117	91.993525	31.54189722	4547	Meadow	-1.019149303	0.3743
Q118	91.86157222	31.57880278	4595	Meadow	-1.225585938	0.3768
Q147	92.86914167	31.81689352	4292	Meadow	0.305363387	0.4171
Q148	92.86986111	31.81689352	4298	Meadow	0.305363387	0.4171
Q149	92.89479722	31.83356481	4310	Meadow	0.330918729	0.4228
Q150	92.89758056	31.81689352	4340	Meadow	0.366957784	0.4452
Q151	92.90115	31.83356481	4314	Meadow	0.350637555	0.4273
