#OTUID	Q1	Q10	Q100	Q101	Q102	Q103	Q104	Q105	Q106	Q107	Q109	Q11	Q110	Q111	Q112	Q113	Q114	Q115	Q116	Q117	Q118	Q12	Q13	Q14	Q147	Q148	Q149	Q15	Q150	Q151	Q152	Q153	Q155	Q156	Q157	Q158	Q159	Q16	Q160	Q161	Q162	Q163	Q164	Q165	Q166	Q167	Q168	Q169	Q17	Q170	Q171	Q172	Q173	Q174	Q175	Q176	Q177	Q178	Q179	Q18	Q180	Q181	Q182	Q183	Q184	Q185	Q186	Q187	Q188	Q189	Q19	Q190	Q191	Q192	Q193	Q194	Q195	Q196	Q197	Q198	Q199	Q2	Q20	Q200	Q201	Q202	Q203	Q204	Q205	Q21	Q22	Q23	Q24	Q25	Q26	Q27	Q28	Q3	Q30	Q31	Q32	Q33	Q35	Q36	Q37	Q38	Q39	Q4	Q40	Q41	Q42	Q44	Q46	Q48	Q49	Q5	Q56	Q58	Q59	Q62	Q63	Q67	Q69	Q7	Q71	Q73	Q74	Q75	Q76	Q77	Q78	Q79	Q8	Q80	Q81	Q82	Q83	Q84	Q85	Q86	Q87	Q89	Q9	Q90	Q92	Q98	Q99
ASV_31	74	66	342	591	112	1826	3763	193	271	287	265	167	217	289	39	16	32	13	43	22	17	39	24	136	211	31	72	31	71	247	25	610	122	338	473	12	224	45	96	203	5851	100	238	572	150	4236	980	158	36	211	85	455	140	6	5	23	5	32	5	132	3	84	415	393	81	143	22	50	2535	277	51	247	74	375	344	442	256	694	124	605	1223	174	39	1031	79	247	321	156	34	27	23	46	86	30	78	44	47	19	16	87	25	44	177	60	194	119	35	249	55	19	24	177	21	0	21	131	10	116	10	50	8	0	5	111	27	4	32	7	52	5	32	33	44	72	14	45	3	11	101	52	1	12	374	10	9	77	248
ASV_21	10	8	38	19	12	101	76	40	49	8	27	6	17	12	21	5	10	48	7	8	1	36	5	12	1356	925	1713	2	773	2651	388	309	965	506	23	8	29	3	29	15	369	41	238	521	416	1134	2471	1095	1	234	52	176	35	24	5	114	8	36	118	4	9	62	617	755	458	2702	1592	120	2219	217	1	255	593	311	286	103	923	467	134	468	641	2	5	479	142	79	348	593	423	2	2	2	8	5	1	1	3	5	0	12	4	1	4	31	13	27	1	46	6	45	10	32	5	9	0	7	0	11	28	0	0	3	11	2	10	10	12	11	91	1	9	10	6	4	4	26	5	20	35	14	18	6	26	28	7	7	19
ASV_30	158	56	247	95	136	758	2469	679	3103	95	107	96	352	37	233	124	849	14	182	13	24	20	13	178	94	12	62	12	24	66	22	130	36	28	86	19	113	37	22	24	112	20	119	319	28	35	73	19	709	136	53	9	23	2	1	74	2	4	19	3454	0	8	69	22	10	31	6	13	88	25	673	32	345	18	34	6	64	59	14	64	50	844	86	83	21	30	24	24	10	149	18	197	401	410	173	156	332	10	19	493	66	623	1479	42	43	81	35	114	228	63	20	176	0	12	1	42	7	87	5	7	2	0	4	93	26	3	12	3	12	0	6	88	13	291	215	44	6	17	69	20	2	39	107	19	51	14	419
ASV_35	21	276	27	367	34	646	81	164	88	104	142	56	684	123	31	14	26	9	24	18	11	53	41	134	43	13	100	33	37	62	41	717	82	129	134	33	205	28	17	442	442	56	290	167	123	84	263	128	36	173	54	15	56	19	46	87	45	43	93	36	33	126	853	135	48	91	172	73	1267	5285	120	2926	246	62	76	77	46	978	77	204	206	68	44	239	117	154	328	596	101	19	31	8	64	21	77	13	84	20	68	140	19	69	41	183	249	391	69	134	23	22	65	104	3	2	3	42	26	97	46	7	14	2	21	140	1	1	9	21	100	10	18	9	16	2	92	22	24	13	20	88	6	56	18	30	42	26	33
ASV_27	35	162	51	1089	63	2178	52	226	38	12	56	55	84	16	28	27	28	20	21	21	93	76	46	100	30	40	286	5	253	100	89	334	120	58	43	14	45	44	52	56	172	111	378	19	22	42	296	92	7	31	10	77	10	12	25	24	26	9	26	40	47	27	29	116	15	60	57	24	835	1039	21	3956	135	40	89	37	24	394	156	303	260	96	73	230	273	213	128	300	156	23	65	21	123	19	49	7	15	11	22	170	94	16	214	253	197	588	83	219	39	66	22	255	10	9	17	58	2	32	84	24	13	1	17	197	51	4	19	53	211	31	85	64	12	9	18	10	39	65	103	136	2	50	12	32	73	103	718
ASV_18	176	29	221	42	43	323	1747	186	591	31	61	61	39	53	16	9	56	2	14	4	2	30	7	70	40	9	28	6	27	62	11	45	24	11	60	3	76	17	14	20	209	7	64	74	15	27	145	2	75	9	26	1	9	1	0	1	1	0	3	59	0	0	69	2	21	163	63	60	11785	133	88	282	196	121	127	148	100	242	114	236	299	38	5	403	54	139	205	118	38	4	32	27	43	17	27	39	54	6	1	41	10	60	117	27	28	74	6	35	27	35	2	33	0	0	1	54	0	14	9	3	8	0	3	53	2	7	28	0	9	6	9	1	10	8	12	0	4	10	48	1	3	20	24	9	7	4	91
ASV_54	5	28	558	261	16	1238	1283	30	131	32	26	37	54	39	14	3	4	7	4	7	1	33	17	97	18	10	16	15	7	18	16	54	17	50	148	6	268	39	6	82	1328	13	436	2140	80	268	1834	129	47	293	83	134	105	4	5	17	15	4	8	64	3	17	371	134	72	797	59	11	217	42	10	73	52	121	41	17	35	144	11	82	120	45	48	226	14	218	30	25	12	3	43	5	85	13	5	22	5	19	6	37	6	106	11	43	65	78	1	234	20	37	4	83	14	5	14	153	1	5	2	1	14	0	13	58	23	4	39	2	46	17	47	2	28	3	156	75	20	8	8	53	0	34	613	4	6	26	260
ASV_39	17	16	51	110	86	208	69	142	157	52	88	26	32	29	4	12	36	9	16	17	9	19	15	25	1065	491	286	3	142	825	163	1011	409	286	19	6	104	13	21	4	354	0	12	89	16	26	10	247	9	9	70	7	15	0	0	1	4	4	5	11	0	3	9	41	10	35	13	29	2904	143	6	68	119	315	370	755	676	418	363	275	494	30	15	877	39	54	219	240	25	3	1	7	30	5	5	17	11	0	12	16	2	8	23	4	18	26	4	28	8	16	16	39	0	7	0	19	11	10	0	17	0	4	1	55	1	6	10	17	15	1	12	15	16	19	4	2	1	10	23	10	15	14	52	8	6	2	73
ASV_55	2	2	552	30	25	3687	5096	39	178	243	104	0	401	9	13	16	18	138	11	3	11	3	0	9	70	23	35	0	17	57	16	113	33	20	44	7	42	0	18	15	171	3	24	2990	23	50	26	6	45	19	11	7	7	0	3	1	1	0	1	29	2	13	20	9	1	1	0	1	6	0	7	2	1	1	1	3	0	54	0	36	20	32	0	3	0	33	4	3	2	0	0	1	0	5	0	0	1	0	0	9	0	12	6	13	0	17	0	19	0	1	0	1	6	0	1	4	0	0	1	0	3	0	0	16	0	1	1	2	43	1	0	0	0	0	0	0	2	0	25	0	0	4	40	7	3	10	34
ASV_53	454	38	50	98	92	578	257	182	845	42	463	87	1012	28	117	22	721	64	139	37	17	17	8	77	126	11	88	22	38	61	37	154	52	34	39	20	51	40	56	2	52	0	40	4	2	15	3	1	270	2	0	5	1	0	0	1	0	0	1	340	0	0	6	1	4	10	6	4	30	6	846	18	13	4	18	2	42	100	15	132	134	322	56	115	15	12	142	30	32	51	17	481	145	173	190	62	172	9	11	551	114	245	370	15	23	33	36	98	143	174	85	132	18	6	16	29	45	165	0	24	3	0	2	206	0	0	3	8	19	4	6	89	24	275	8	4	29	1	30	4	0	8	90	7	24	3	133
